job_title,min_salary,max_salary,currency,skills,publication_date,id,location,job_categories,experience,html_link,type,company_name,company_id,source,created
Shift Supervisor Trainee,16.00,18.50,$,[],2024-04-12T00:53:16Z,13717547,"[{'name': 'Jonesboro, AR'}]",[{'name': 'Human Resources and Recruitment'}],mid,https://www.themuse.com/jobs/cvshealth/shift-supervisor-trainee-e735f9,external,CVS Health,12096,muse.com,2024-04-19_13:05:59
Project Manager,_NOT_FOUND_,_NOT_FOUND_,_NOT_FOUND_,[],2024-03-06T23:05:53Z,13757878,[],[{'name': 'Project Management'}],senior,https://www.themuse.com/jobs/exadel/project-manager-853083,external,Exadel,15000196,muse.com,2024-04-19_13:05:59
Embedded Software Development Engineer - Linux C/C++,_NOT_FOUND_,_NOT_FOUND_,_NOT_FOUND_,[],2023-03-24T23:48:00Z,11082544,"[{'name': 'Ankara, Turkey'}]",[{'name': 'Software Engineering'}],senior,https://www.themuse.com/jobs/siemens/embedded-software-development-engineer-linux-cc-80eb5b,external,Siemens,11913,muse.com,2024-04-19_13:05:59
Pharmacy Technician,16.00,21.00,$,[],2024-04-12T00:41:37Z,14433158,"[{'name': 'Missouri City, TX'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-6b50a0,external,CVS Health,12096,muse.com,2024-04-19_13:05:59
Werkstudent*in (w/m/d) Technischer Vertrieb,_NOT_FOUND_,_NOT_FOUND_,_NOT_FOUND_,[],2023-01-25T00:49:58Z,10753668,"[{'name': 'Osnabrück, Germany'}]",[{'name': 'Unknown'}],mid,https://www.themuse.com/jobs/siemens/werkstudentin-wmd-technischer-vertrieb-08becd,external,Siemens,11913,muse.com,2024-04-19_13:05:59
"Software Engineering Manager, Cloud and Enterprise Agents - ThousandEyes",_NOT_FOUND_,_NOT_FOUND_,_NOT_FOUND_,[],2023-06-09T17:20:23Z,11593916,"[{'name': 'London, United Kingdom'}]",[{'name': 'Software Engineering'}],senior,https://www.themuse.com/jobs/ciscomeraki/software-engineering-manager-cloud-and-enterprise-agents-thousandeyes,external,Cisco Meraki,11799,muse.com,2024-04-19_13:05:59
Store Associate,15.00,18.00,$,[],2024-04-12T00:33:21Z,14629781,"[{'name': 'Newark, DE'}]",[{'name': 'Retail'}],senior,https://www.themuse.com/jobs/cvshealth/store-associate-ac130b,external,CVS Health,12096,muse.com,2024-04-19_13:05:59
Pharmacy Technician,16.00,21.00,$,[],2024-04-12T00:57:48Z,13187571,"[{'name': 'Louisville, KY'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-bfd8c0,external,CVS Health,12096,muse.com,2024-04-19_13:05:59
Pharmacy Technician,16.00,21.00,$,[],2024-04-12T00:57:49Z,12829792,"[{'name': 'Sun City Center, FL'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-93d7fc,external,CVS Health,12096,muse.com,2024-04-19_13:05:59
Security Architect,_NOT_FOUND_,_NOT_FOUND_,_NOT_FOUND_,[],2023-06-20T10:15:15Z,11593933,"[{'name': 'Research Triangle Park, NC'}]",[{'name': 'Computer and IT'}],mid,https://www.themuse.com/jobs/ciscomeraki/security-architect,external,Cisco Meraki,11799,muse.com,2024-04-19_13:05:59
Store Associate,17.00,20.00,$,[],2024-04-12T00:41:37Z,14433429,"[{'name': 'Washington, DC'}]",[{'name': 'Retail'}],senior,https://www.themuse.com/jobs/cvshealth/store-associate-ce2749,external,CVS Health,12096,muse.com,2024-04-19_13:05:59
SMD Sr. Financial Analyst for PLM (Finance BP) BJ,_NOT_FOUND_,_NOT_FOUND_,_NOT_FOUND_,[],2023-05-05T23:39:59Z,11304859,"[{'name': 'Beijing, China'}]",[{'name': 'Accounting and Finance'}],senior,https://www.themuse.com/jobs/siemens/smd-sr-financial-analyst-for-plm-finance-bp-bj,external,Siemens,11913,muse.com,2024-04-19_13:05:59
Store Associate,15.00,19.00,$,[],2024-04-12T00:44:50Z,14357854,"[{'name': 'Arlington, VA'}]",[{'name': 'Retail'}],senior,https://www.themuse.com/jobs/cvshealth/store-associate-eb936d,external,CVS Health,12096,muse.com,2024-04-19_13:05:59
Pharmacy Technician,16.00,21.00,$,[],2024-04-12T00:37:51Z,14545027,"[{'name': 'Clifton Heights, PA'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-4b901f,external,CVS Health,12096,muse.com,2024-04-19_13:05:59
District Support Pharmacist PT,60.00,73.00,$,[],2024-04-12T00:57:48Z,13088137,"[{'name': 'Garden City, RI'}]",[{'name': 'Healthcare'}],mid,https://www.themuse.com/jobs/cvshealth/district-support-pharmacist-pt-4b46fe,external,CVS Health,12096,muse.com,2024-04-19_13:05:59
Drive with Lyft - Signing up is Easy,_NOT_FOUND_,_NOT_FOUND_,_NOT_FOUND_,[],2024-03-30T12:18:46Z,14532111,"[{'name': 'Parkersburg, WV'}]",[{'name': 'Software Engineering'}],senior,https://www.themuse.com/jobs/lyft/drive-with-lyft-signing-up-is-easy-6f001e,external,Lyft,11895,muse.com,2024-04-19_13:05:59
Pharmacy Technician,16.75,24.00,$,[],2024-04-12T00:33:21Z,14629375,"[{'name': 'San Luis Obispo, CA'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-aef5a3,external,CVS Health,12096,muse.com,2024-04-19_13:05:59
