jobId,employerId,employerName,employerProfileId,employerProfileName,jobTitle,locationName,minimumSalary,maximumSalary,currency,expirationDate,date,jobDescription,applications,jobUrl
52163065,438198,Carbon 60,,,Estimator - Facilities Management,Barrow-in-Furness,62860.0,62860.0,GBP,03/04/2024,20/02/2024,Estimator - Facilities Management - Barrow in Furness - Up to 62860 inclusive of car allowance plus excellent benefits This is a fantastic opportunity to join one of the largest Facilities Management companies in the UK at one of their prestigious clients' sites based in Barrow in Furness who are experiencing significant growth. An outstanding opportunity to become part of truly first-rate facilities. Salary: Up to 62860 inclusive of car allowan... ,1,https://www.reed.co.uk/jobs/estimator-facilities-management/52163065
47816411,575264,Reed,,,Lancashire County Council LCC - ECT Pool,BB11AE,100.0,212.0,GBP,13/04/2024,11/08/2022,"Lancashire County Council as Lancashire Teaching Agency (LTA) are recruiting for Early Career Teachers (ECTs) to join our team in the Blackburn&nbsp;area. As a Trainee teacher coming towards the end of your training, you may already be actively applying for positions and we wish you every success with this. However what options are available should you not secure that desired position immediately? One such option would be to register with the La... ",19,https://www.reed.co.uk/jobs/lancashire-county-council-lcc-ect-pool/47816411
52314007,479155,Altitude-Recruitment Limited,,,Receptionist,MK92NR,12.0,12.0,GBP,13/04/2024,14/03/2024,"An excellent opportunity for someone looking for part-time temporary receptionist work.&nbsp; Part of a global charity, based in Central Milton Keynes, working in the heart of a busy reception hub. &nbsp; You will be responsible for all meeting and greeting of visitors First point contact for customers via the telephone, responding to enquiries Dealing with all deliveries for the site Responding to emails, actioning where necessary Updating spre... ",24,https://www.reed.co.uk/jobs/receptionist/52314007
52330868,368042,Serve Talent,,,Marketing Executive,NR347TE,42000.0,50000.0,AUD,17/04/2024,18/03/2024,"Job Opportunity: Marketing Executive (Engineering) Are you passionate about marketing and eager to make an impact in the automation / life science industry? We are seeking a talented Marketing Executive to join our dynamic client. As a Marketing Executive within the engineering division, you'll play a pivotal role in driving our marketing strategies and initiatives forward. Key Responsibilities: Develop and execute marketing plans and campaigns ... ",0,https://www.reed.co.uk/jobs/marketing-executive/52330868
52330869,8610,Vector Recruitment Ltd,,,Laser Applications Development Engineer,OX117HP,35000.0,50000.0,GBP,17/04/2024,18/03/2024,Laser Applications Development Engineer/Scientist Oxfordshire 35k- 50k (dep on exp) &nbsp;&nbsp; This highly successful technology company design state-of-the-art laser systems &amp; also provide bespoke laser micromachining services for clients world-wide. They have a new role for an experienced Laser Applications Development Engineer/Scientist to join the Micromachining R&amp;D department. &nbsp;&nbsp; The Laser Applications Development Engine... ,0,https://www.reed.co.uk/jobs/laser-applications-development-engineer/52330869
52330870,8610,Vector Recruitment Ltd,,,Senior Controls Engineer,MK417PF,50000.0,60000.0,GBP,17/04/2024,18/03/2024,"Senior Control Systems Engineer Bedfordshire 50k- 60k (dep on exp) bonus and benefits 12-month FTC &nbsp; A brand-new opportunity has arisen for a Senior Control Systems Engineer to join a well-established engineering R&amp;D company based in Bedfordshire. The company is focussing on developing brand-new disruptive technology to help revolutionise high precision engineering industries such as Aerospace, Space, Defence, Automotive and more! We ar... ",0,https://www.reed.co.uk/jobs/senior-controls-engineer/52330870
47816410,575264,Reed,,,Lancashire County Council LCC - ECT Pool,BB11AE,100.0,212.0,GBP,13/04/2024,11/08/2022,"Lancashire County Council as Lancashire Teaching Agency (LTA) are recruiting for Early Career Teachers (ECTs) to join our team in the Blackburn&nbsp;area. As a Trainee teacher coming towards the end of your training, you may already be actively applying for positions and we wish you every success with this. However what options are available should you not secure that desired position immediately? One such option would be to register with the La... ",19,https://www.reed.co.uk/jobs/lancashire-county-council-lcc-ect-pool/47816410
52082049,588052,McCarthy Adams Recruitment ,,,Senior Practice Accountant,Lincolnshire,,,,19/03/2024,06/02/2024,"Senior Practice Accountant | Lincolnshire| Competitive Full Time | Perm | Hybrid Working Our client is a well-respected Lincolnshire based company, who are looking to grow their team with an experienced Senior Practice Accountant. Responsibilities for Senior Practice Accountant: • Preparation of accounts and managements accounts for limited companies, sole-traders, and partnerships to draft stage, ready for review • Audit assignments • Preparati... ",2,https://www.reed.co.uk/jobs/senior-practice-accountant/52082049
52260508,332399,Sanctuary Personnel,,,Pharmacist,Scunthorpe,25.0,30.0,GBP,18/04/2024,06/03/2024,"Sanctuary Personnel, a dedicated and award-winning recruitment agency with a TrustPilot score of 4.8/5 and over 600 reviews is currently looking for an experienced and dedicated Pharmacist to take on a new locum role. Pharmacist Pay Rate: 25 - 30 per hour (assignment rate) Location: Scunthorpe Contract Type: Locum ongoing contract Benefits of working with us: Fully online and paperless registration service Free DBS and compliance service includi... ",1,https://www.reed.co.uk/jobs/pharmacist/52260508
52330867,494590,Broster Buchanan Ltd,,,Compliance Manager,Askam-in-Furness,,,,19/04/2024,18/03/2024,"Liverpool City Centre (Hybrid, 2 days per week) Regulatory Compliance (FCA) 45,000 - 50,000 Benefits Our Liverpool based client requires a Compliance Manager to join their small, but well-established team. THE ORGANISATION A growing organisation and a fast paced environment, this is an exciting business to work for. THE ROLE Reporting directly to the CEO, this role will give you a lot of exposure to senior leadership. You will be responsible for... ",0,https://www.reed.co.uk/jobs/compliance-manager/52330867
